,id,img,label,text
1603,49178,img/49178.png,0,no wig no weave challenge
1616,49618,img/49618.png,0,if elected i will institute gun control by executive action well i was going to say that you just blew your chances but then i remembered that's how you got started in politics
6299,43610,img/43610.png,1,send me a latina who's not crazy i don't know how to make them
12515,39871,img/39871.png,0,farming 1800
9121,86927,img/86927.png,0,planet of the apes if s sci-fi classic
7066,9623,img/09623.png,0,all my guns now self identify as dirt bikes so i had to install mufflers
1632,42315,img/42315.png,0,half of trump supporters are deplorable! half of your supporters are deportable
899,45780,img/45780.png,0,you think your day was bad? these two didn't get accepted to the same college
9504,80947,img/80947.png,1,my new muslim girlfriend not much to look at
9450,2518,img/02518.png,0,when the dog bites you and you bite back to assert dominance
10615,32698,img/32698.png,1,did someone say gas?
11739,34965,img/34965.png,0,the face you make when you know you're lying
7077,48263,img/48263.png,1,marokko speed dating
8265,38057,img/38057.png,0,sea monkeys
3327,80764,img/80764.png,1,this is a snakes mouth it all makes fucking sense now
7313,10852,img/10852.png,0,a beautiful family
2373,39416,img/39416.png,0,are u a wizard?
8266,64709,img/64709.png,0,you can say a lot of bad things about pedophiles but at least they drive slowly past schools
10360,16029,img/16029.png,0,you think i'm a terrorist but i identify as a firework
3281,17624,img/17624.png,0,just trying to do my part
682,52496,img/52496.png,0,tweekers be like y'all hear that shit!?
8134,34798,img/34798.png,1,i don't see whats wrong with him other than he stole that wheelchair
6184,42168,img/42168.png,1,when your little one brings home his first girlfriend
12521,49638,img/49638.png,0,when you fart in crowd and  try to look normal
10730,31672,img/31672.png,1,tonight on animal planet animal planet of the apes
6667,2537,img/02537.png,0,arrest george soros for crimes against europe
4444,90847,img/90847.png,0,"""i say, we knock off trump and then, go after pence. we have the power."" - maxine waters 9/17/2018 yes, she actually said this and then blames president trump for inciting violence"
40,6418,img/06418.png,0,1 bomb every minute
3302,75123,img/75123.png,0,a little driving music makes my day
1414,75921,img/75921.png,0,hahahaha! fuck your feelings
12168,53871,img/53871.png,0,"last year tyrone got a new job , started building his credit, then something amazing started to happen! and spending more time with his kids"
11467,14682,img/14682.png,0,that face you make when your parents are actually cousins
3275,95048,img/95048.png,0,little boy from kenya
10670,56243,img/56243.png,1,it's hump day!!! hide your livestock
9665,94380,img/94380.png,1,that look when you high as fuck on dem chromosomes
9488,64312,img/64312.png,1,"no, that's not his daughter.. that's his wife! yet the world is silent.."
11284,10647,img/10647.png,1,when you want to enter islam when you want to leave islam
7523,26049,img/26049.png,0,i do not want to hear anymore about gun control from a person who is making it easy for iran to obtain nuclear weapons!!!
4838,75602,img/75602.png,1,made rice krispies way before kellogg's rt @tooracist: my japanese girlfriend didn't get this joke. i had to drop the bomb twice
8737,95086,img/95086.png,1,novaky concentration camp these jews can claim holocaust pensions
12524,59762,img/59762.png,0,bodies being removed in wagons by german
12463,9528,img/09528.png,0,i hired a clown for my birthday celebration
867,90481,img/90481.png,0,"dear girls, before you call a guy ugly, just remember he does not wear make up"
4947,5369,img/05369.png,0,person i chase: *shows clear signs he doesn't want to do anything with me* me: i'm gonna pretend i didn't see that
7826,71084,img/71084.png,0,stop asking! we don't have to tell you where the money went collected $13 billion for haiti built 6 houses laws are for little people
7440,45136,img/45136.png,0,this is my neighborhood after a great community event we tried to keep it clean !
5129,2974,img/02974.png,1,"it might look fucked up, but her handjobs are fucking unbelievable"
11494,27310,img/27310.png,0,when gorillas or threatened with extinction you'd do anything to help save them
5115,4126,img/04126.png,1,"hitler be like ""you sure i killed 6 million? they aint up here"
696,21354,img/21354.png,0,"jesus take the wheel. carlos, you take the stereo. and i'll take lookout"
11485,51849,img/51849.png,0,why build a wall? a bad ass electric fence would be way more entertaining
11812,59276,img/59276.png,0,when you get 2 babies instead of 1
215,2691,img/02691.png,0,teaching them how to hunt young
686,42317,img/42317.png,1,when you get shot in the groin by a rubber bullet and your made-up gender doesn't protect your willie
5166,25168,img/25168.png,0,im wilford brimley and i have diabetes
6598,1892,img/01892.png,0,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
5279,17358,img/17358.png,1,get dunked on   you fucking jew
6679,90618,img/90618.png,1,here's a painting of a handbook for terrorists
4596,52691,img/52691.png,0,almost all of trump supporters are white
7424,84970,img/84970.png,1,retarded you are kill yourself u must
2279,24905,img/24905.png,0,nascar presents the wal-mart 500
10589,40596,img/40596.png,1,so this is what being black is like
34,76825,img/76825.png,0,two woman walking home together after a nice day out together
2146,82674,img/82674.png,0,"democrats, the test results are back and donald trump is your daddy"
8367,70319,img/70319.png,1,allah akbar! next thing you know everyone is dead  
4575,80195,img/80195.png,1,how do you know if a black guy is well hung? you can't fit your finger between the rope and it's neck!!
6409,80123,img/80123.png,0,every man needs a decent coffee maker
11239,81604,img/81604.png,1,over heard my daughter telling her friend she was curious what it would be like to date a black guy so ... i showed her!
6887,13697,img/13697.png,0,how chevy owners say hi to each other
4983,92430,img/92430.png,1,back off f'ing white male we are on a sex strike
2819,40136,img/40136.png,1,new zealand edition call of duty
2769,76183,img/76183.png,0,this is hercules the ligar. he weighs 922 pounds. that makes him one of the biggest pussies on earth next to your bitch ass
4708,85476,img/85476.png,0,sometimes a man's purpose in a woman's life is to help her become a better woman... for another man
11135,94163,img/94163.png,1,is it a boy or a girl? it's a bomb
9590,56908,img/56908.png,1,"""life is like a box of chocolates."" it sucks if you have diabetes"
12437,97146,img/97146.png,0,how to pick up a girl from auschwitz
10807,83567,img/83567.png,1,they're just like tornadoes. it only takes one to ruin the neighbourhood
7184,93165,img/93165.png,1,obama voters
9541,37405,img/37405.png,1,introducing fidget spinner for women
5993,10489,img/10489.png,1,have you ever tried ethiopian food? neither have they
6731,4361,img/04361.png,1,islam turning every single country it touches into a shithole for over 1400 years
8494,21345,img/21345.png,1,"when you re out in public, and your muslim acts up the dirty jew"
3432,20371,img/20371.png,1,when you ask the stoke patient to smile
5706,12096,img/12096.png,0,this is how ignorant people will see rashida tlaib
11538,25604,img/25604.png,0,which one is hotter? white girl black girl
7600,19635,img/19635.png,0,when you can smell shit but you're not sure if it's his arse or your hands
2425,60827,img/60827.png,0,people tragically jumping to their death during the 9/11 terrorist attacks
4409,56749,img/56749.png,0,way over there is where you go with that bullshit
6181,19702,img/19702.png,0,i wish jew a happy brithday
751,31568,img/31568.png,0,alabama: bans abortions. all of alabama in 5 years
6996,65904,img/65904.png,1,what do you do? i am a model. i do modelling on instagram what do you do? i am a soldier i kill women and minorities
48,74386,img/74386.png,1,we said we would never forget why are you voting them into our government?
8521,49826,img/49826.png,1,white people on cinco de mayo vs. every other day
364,71045,img/71045.png,0,cutest little beagle in the whole wide world
3085,3429,img/03429.png,0,throwback thursday we was all by ourselves at one time we was the only once's in the new phase to build and close
11861,57614,img/57614.png,0,when your dad comes home to your mom
9372,1726,img/01726.png,1,a real man loads the dishwasher every night
6913,26018,img/26018.png,0,all these flavors and you choose to be salty
11018,54260,img/54260.png,1,yellow black red and normal
576,38427,img/38427.png,1,when you see another black person getting their ass whipped by the cops stop breaking the law
5769,97230,img/97230.png,1,trump better deal with these muslims before they kill me
3917,2581,img/02581.png,1,mussie guy tried to rape me he didn't make it to court
3892,12490,img/12490.png,1,we can kill as many as we want and your stupid government keeps bringing us in
9367,6582,img/06582.png,1,they are terrorists anyone who doesn't agree is an idiot
6752,74215,img/74215.png,1,handjobs sold seperately
6338,49385,img/49385.png,1,this is not the middle-east where america is hated and muslim terrorist are born this is michigan
5460,17420,img/17420.png,0,i have yet begun to defile myself
11907,95348,img/95348.png,0,sorry i'm late. having stage fright
4693,2461,img/02461.png,0,"whenever you feel stupid, remember this"
11503,89241,img/89241.png,0,"""hey, do you want a sip?"""
11309,98156,img/98156.png,0,"kill them, adolf kill them all"
12155,72096,img/72096.png,0,r = ramen
8231,43109,img/43109.png,1,whites and dogs they smell just alike
6866,9561,img/09561.png,0,when the chow mein was on point
1722,84537,img/84537.png,1,this steak is so black it stole my television
5929,5276,img/05276.png,0,talk about that for a team photo
6854,87365,img/87365.png,1,mexicans road trip
7963,30756,img/30756.png,0,dat ass ahmarbkrich*d
6727,20356,img/20356.png,0,when each letter is a mental disorder
1193,62931,img/62931.png,1,i'm sure people who lived in the bible where whites there's no way black people would kill someone who turned water to wine
6624,31094,img/31094.png,0,i'm not saying your mom's a slut but during childbirth she slid you in and out a couple of times
446,94721,img/94721.png,0,never forget the holocaust
3354,63910,img/63910.png,0,dude i'm joking grandma didn't use your pacifier as a butt plug
3215,13402,img/13402.png,0,happy birthday let's snort some cake!
5846,78215,img/78215.png,0,women will be women
427,28317,img/28317.png,0,tries to send killers to kill dante in dantes inferno
2009,31960,img/31960.png,1,when your chinese food shows up completely uncooked
1281,56792,img/56792.png,0,you're so full of shit even your eyes are brown!
3158,80972,img/80972.png,1,why do muslims were towels on their heads so if they run out of toilet paper they have something to wipe their ass
2974,8719,img/08719.png,0,why do white people smell like bologna?
1662,95478,img/95478.png,1,did you know? women have small feet so they can stand closer to the sink
9183,74350,img/74350.png,1,a head diaper is required when you have shit for brains
112,35618,img/35618.png,0,i woke up like this
5427,56472,img/56472.png,0,which is more important length or girth? turns out its consent
11167,83591,img/83591.png,1,"kills: 17 million, deaths: 1 fucking camper"
68,42137,img/42137.png,0,when you get hungry you can either think about it or..
10005,36521,img/36521.png,1,the face you make when one of those damn apes cancels your show
6847,67129,img/67129.png,1,i only wear silk panties cotton ones remind me of slavery
5212,43817,img/43817.png,0,when the muslim kids in your class start hanging out with you
4498,29485,img/29485.png,0,when you want to read about other cultures
12048,4973,img/04973.png,0,had secret door before it was cool
1411,86159,img/86159.png,1,"suicide hotline, how may i help you today sir? i'm feeling suicidal great can you fly a plane?"
10665,57846,img/57846.png,1,your view on the refugees? me: flir 1340
9562,38765,img/38765.png,1,wtf is with this guide dog? i keep ending up at kfc
4363,40819,img/40819.png,1,see the difference? negro real jews european fake jews
9073,48509,img/48509.png,0,went to wal-mart just to take a shopping cart and run around the parking lot
11105,20634,img/20634.png,1,this is the worst cancer i've ever seen
2880,14590,img/14590.png,0,fifty shades of goat an isis love story
5202,1423,img/01423.png,0,when you want to nap after a long day of mudding
5139,49327,img/49327.png,1,"dispatch, we have a code 1, scared white bitch, over"
510,63140,img/63140.png,0,and then i said homosexuals can go to heaven
5682,4689,img/04689.png,0,illegal immigration the cowboy way we'll know them if they try to come back in!
10437,87923,img/87923.png,0,there's a 50% chance this phone is stolen
755,63871,img/63871.png,1,you can be any gender you want if you are mentally ill
1953,75018,img/75018.png,0,when your history teacher starts talking about the holocaust
12413,58601,img/58601.png,0,when you call the avengers and they send the one from wakanda
11841,43892,img/43892.png,0,you know that we are better together
7437,53048,img/53048.png,0,6 million lampshades never again
1634,15298,img/15298.png,0,kim jong un had more during their debate american flags on display than the leftists did
1334,68327,img/68327.png,0,"the original people of americas then social status classifications negro & indian now same phenotype, different social status classifications"
1807,27860,img/27860.png,1,breastfeed a 42 year old expelled from kfc for breastfeeding her 42-year-old son shit white people do
2641,31547,img/31547.png,0,"somewhere in a galaxy far, far, away someone will say the n-word"
6902,12356,img/12356.png,0,the guy that wrote this sign wants $15.00 an hour
9519,64125,img/64125.png,0,ooof. that's gotta hurt
8389,76253,img/76253.png,1,"for the last time, we are not trump supporters!!! he says ""relocate mexicans"" we are saying ""exterminate mexicans"""
5633,14097,img/14097.png,0,do you have any idea how fast you were going
4604,50764,img/50764.png,1,mooch in his natural habit
3698,67190,img/67190.png,0,a fire cracker
5026,61793,img/61793.png,1,black people anything that doesn't belong to them
3678,26340,img/26340.png,1,goats can't talk why are so few muslim rapes reported?
4170,40871,img/40871.png,1,in my country i am forced to keep my mouth shut but here i am free to talk trash about this country in hopes that i can change it to a country where i am forced to keep my mouth shut
5931,68193,img/68193.png,0,when you wore the wrong thawb
10235,57169,img/57169.png,0,mfw i pull up at the lights next to the person who sped past me
7721,25189,img/25189.png,0,"it looks like it was ultimately obama who was behind the entire plot to undermine the trump presidency. muslim plant forget the russians, here is the real enemy!"
6023,26803,img/26803.png,0,"oompa loompa doompeda dee! if you hit that, it will burn when you pee!"
1074,19526,img/19526.png,0,life handed me lemons so i fucked them and gave them lemon-aids
8929,67208,img/67208.png,0,does nike also sell stones in case they take it off?
3632,83602,img/83602.png,1,not going anywhere a while? for sniggers
10872,7934,img/07934.png,1,when the whole squad pays respects to the holocaust
8761,69815,img/69815.png,0,thank you for allowing me into your country now we need to talk about the things that need to change around here to accommodate my beliefs
11784,82057,img/82057.png,0,"""life simulator 19 classic outdoor dlc"""
9484,84150,img/84150.png,0,when your jewish friend smells a stash of coins in public
6817,24687,img/24687.png,0,america first! when it comes to elections
788,97623,img/97623.png,1,tattoos are bad for your health i know 5 million people who had tattoos and they all died
316,48703,img/48703.png,1,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """
6544,5437,img/05437.png,0,this could be us but you keep escaping
9988,64730,img/64730.png,1,look dude a second hand store !!
6842,76094,img/76094.png,1,white people is this a shooting range
12511,54209,img/54209.png,0,if you want good life for your children send them here
10404,23075,img/23075.png,1,when your teacher roasts you and your homie but he doesn't know about the bomb that's going off in 2 mins
6874,61420,img/61420.png,1,keeping your dishwasher clean  will make it last longer
11421,26457,img/26457.png,0,bake off winner make meme
545,89603,img/89603.png,0,when you've had a long day but you need to but geroceries
12388,2578,img/02578.png,0,islam is the religious of love and peace
10904,48957,img/48957.png,1,happy pride month let's go beat up lesbians
1747,96517,img/96517.png,1,when muslims have been slaughtering millions of innocent people across hundreds of countries and finally someone gives them a taste of their own medicine
1383,79205,img/79205.png,0,i am never drinking with you fuckers ever again!
2788,27418,img/27418.png,0,people love whoever
5443,23154,img/23154.png,0,this is my hobby to work on car engines
7928,54610,img/54610.png,1,if jesus rode ass why do christians hate gay people?
1402,9248,img/09248.png,0,when your dishwasher is broken so you take it back to walmart to get a new one
6800,13492,img/13492.png,0,my mom makes the best sandwiches
1330,37504,img/37504.png,0,we are returning our broken coffee maker
5210,17305,img/17305.png,0,i've told my neighbor to keep thier pug out of my yard 3 times already
11728,13724,img/13724.png,0,when you see the soviets
4840,67385,img/67385.png,1,"dark humor is like hitler some people call it wrong, , but i find it completely justified"
4530,9384,img/09384.png,1,when you're muslim but you have oil
4820,43152,img/43152.png,0,this shit right here is why i suicide people
1695,84563,img/84563.png,1,about to explode with pride now that his daughter can go to school
998,19438,img/19438.png,0,"when dudes try to be funny at the club i'm sorry, is this some sort of peasant joke that i'm too rich to understand?"
11313,64081,img/64081.png,0,anne frank was a brave girl
8767,73914,img/73914.png,1,be careful who you call ugly in highschool
11870,51962,img/51962.png,0,how to get with the person of your dreams without being someone else
7862,25481,img/25481.png,0,"likes to play games with friends favorite game is called ""child soldiers"""
4951,78231,img/78231.png,0,what are we waiting for again ?
835,34186,img/34186.png,1,when i was a kid i thought black people were made from anal sex
7621,10682,img/10682.png,1,"stephen miller, architect of the policy to seperate children from their parents at the border. the jew with the soul of a nazi"
4719,17469,img/17469.png,0,"chelsea clinton.. so ugly that when she gives head, it counts as anal"
8949,67103,img/67103.png,1,still better than mexican
7915,80436,img/80436.png,0,whydo keep these liberals fight to and fight to kill these
8048,14038,img/14038.png,0,"holocaust jokes arent funny, anne frankly, i'm getting tired of them"
10205,92785,img/92785.png,0,jeffrey dahmer dumping his last boyfriend
4484,35041,img/35041.png,0,2011 gt3 rs with a rebuilt tranny
7253,35160,img/35160.png,0,you did the reich thing
5624,59047,img/59047.png,0,"do i hear flutes, drums and the sash"
233,62804,img/62804.png,0,look at this throatagraph
9983,43506,img/43506.png,1,there's a reason they have children. they are pedophiles
11619,29043,img/29043.png,0,"aight, time for the photo shoot"
4509,45267,img/45267.png,1,survives ebola gets adopted by angelina jolie
8397,18640,img/18640.png,1,"blacks are the only race to practice, ""love your enemies!"" no other race practice's it more in the name of religion look at the condition of their people and look at the condition of blacks"
8435,4529,img/04529.png,1,"please, ' 'share' this piggy he upsets muslims"
533,85421,img/85421.png,0,gays on their way home after pride week
8974,19243,img/19243.png,0,"surprise!! wait, where is everyone?"
6279,76923,img/76923.png,0,"""i inherited a mess!"" - donald trump no, you inherited a fortune. we elected a mess!"
4521,21637,img/21637.png,1,this one time at camp we got so baked
2306,42510,img/42510.png,1,"death to the jews!!! death to the christians!!! death to the hindus oh, and by the way, islam is a religion of peace. please stop persecuting us and try to be more tolerant"
3401,37902,img/37902.png,1,i may be blind but at least i'm not black
7561,56304,img/56304.png,1,when you and ya partner see an unarmed black youth
4045,13579,img/13579.png,0,up his sleevies where did hitler where? keep his armies?
5034,53904,img/53904.png,1,"hey, sorry goat fucker that warning shot over your head? was a bit low!"
4257,26095,img/26095.png,0,when you're going 90 mph in a school zone and the pre-schoolers are crossing the street this is where the fun begins
6305,39741,img/39741.png,1,antique farm equipment
1391,31809,img/31809.png,0,look! i can nearly fit as many balls in my mouth as your girlfriend!!
9511,27498,img/27498.png,1,who's gonna make the sandwiches? what do we do with all these sandwiches?
2913,4185,img/04185.png,0,when you need a diaper because you're a still a baby
9469,67208,img/67208.png,0,does nike also sell stones in case they take it off?
2660,29158,img/29158.png,1,the military finally captured the massive orangutan
4024,62597,img/62597.png,0,whatever we once were we are still one nation
8032,86103,img/86103.png,1,never forgive a people !!! who $old your babies then made you love theirs
9883,42705,img/42705.png,0,trust me.. ...they love the warm weather
9345,73962,img/73962.png,1,you should treat that the way you treat you vacuum cleaner when it stops sucking change the bag
794,40137,img/40137.png,0,muslims moved in... but theyre not moving out.
11888,8943,img/08943.png,0,myth: gingers don't have souls fact: gingers have completely natural red hair
12222,47210,img/47210.png,0,this makes me puke send all of them back home
10820,7425,img/07425.png,1,they only punch with their left hand because they got no rights
9258,69548,img/69548.png,1,"wait, mohammad come back i didn't mean to laugh, really size dosen't matter to me lol"
7956,79608,img/79608.png,1,a muslim walks into a gay bar. bartender: what will it be? muslim: free shots for everyone!
12141,76942,img/76942.png,0,babies are too cute!
10164,15489,img/15489.png,1,rice cooker now versus in 1945
8515,10749,img/10749.png,1,my sense of humor is so dark it picks cotton
5897,37629,img/37629.png,1,the perfect game doesn't exis......
2718,87401,img/87401.png,0,brett kavanaugh grabbed my penis
5710,36452,img/36452.png,0,"what did you hear on the wiretap, barry? he said he really is going to make america great again"
9214,94170,img/94170.png,0,when you decide to go full gas
2594,56183,img/56183.png,1,traps are just flat chested futas
5690,10936,img/10936.png,1,77 years after pearl harbor and it still hurts but just 17 years after 9/11 and we want to move them here and adopt their laws in american cities
12020,32546,img/32546.png,0,farming simulator 1800
2704,37419,img/37419.png,0,when the turbulence in the plane gets intense
5905,43780,img/43780.png,0,picture of the day
7518,95034,img/95034.png,0,"""a wiggle never hurt anybody."" dorothy donegan pianist"
10256,52839,img/52839.png,1,me convincing homophobes that i'm just like them and not a sexually deviant pervert
11855,13287,img/13287.png,0,beats by dre are great headphone
9339,85679,img/85679.png,1,mr obama it is an honor
4368,31687,img/31687.png,0,ask that dumb ass question again and i'll head out
2978,71463,img/71463.png,0,mamma! this goat scares me
1301,21405,img/21405.png,0,remember the past to save the future
3315,35216,img/35216.png,1,"it's time to kill the british and dump tea into the ocean, and i'm all out of tea"
5574,76421,img/76421.png,0,i don't know how to deal with black people but i guess i'll take a shot at it
11998,74396,img/74396.png,0,can you blame him for robbing? guy doesn't even have a shirt on his back
8339,1247,img/01247.png,1,you can't be racist if there is no other race
865,5123,img/05123.png,1,when cops question someone who just got robbed did anything seem strange? like maybe something black?
521,4296,img/04296.png,0,now imagine if native american cowboys rode bicycles
713,7983,img/07983.png,0,did we run out of gas ? someone get out and push
11106,20859,img/20859.png,1,german fireworks
8833,23785,img/23785.png,0,hansel and gretel was a scary childrens story
